node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
3919,,-111.9319236,33.4219568,178,1,
3920,,-111.9318492,33.4219575,178,1,
3921,,-111.9317747,33.4219582,178,1,
3922,,-111.9317003,33.4219589,178,1,
3923,,-111.9316258,33.4219596,178,1,
3924,,-111.9315514,33.4219603,178,1,
3925,,-111.9314769,33.421961,178,1,
3926,,-111.9314024,33.4219617,178,1,
3927,,-111.931328,33.4219624,178,1,
3928,,-111.9312535,33.4219631,178,1,
3929,,-111.9311791,33.4219638,178,1,
3930,,-111.9311046,33.4219645,178,1,
3931,,-111.9310302,33.4219652,178,1,
3932,,-111.9309557,33.421966,178,1,
3933,,-111.9338594,33.421908,178,2,
3934,,-111.9337849,33.4219085,178,2,
3935,,-111.9337104,33.4219091,178,2,
3936,,-111.933636,33.4219096,178,2,
3937,,-111.9335615,33.4219102,178,2,
3938,,-111.9334871,33.4219108,178,2,
3939,,-111.9334126,33.4219113,178,2,
3940,,-111.9333381,33.4219119,178,2,
3941,,-111.9332637,33.4219125,178,2,
3942,,-111.9331892,33.4219131,178,2,
3943,,-111.9331147,33.4219138,178,2,
3944,,-111.9330403,33.4219146,178,2,
3945,,-111.9329658,33.4219153,178,2,
3946,,-111.9328913,33.421916,178,2,
3947,,-111.9328169,33.4219167,178,2,
3948,,-111.9327424,33.4219174,178,2,
3949,,-111.9326679,33.4219181,178,2,
3950,,-111.9325935,33.4219188,178,2,
3951,,-111.932519,33.4219195,178,2,
3952,,-111.9324446,33.4219202,178,2,
3953,,-111.9323701,33.4219209,178,2,
3954,,-111.9322956,33.4219216,178,2,
3955,,-111.9322212,33.4219224,178,2,
3956,,-111.9321467,33.4219231,178,2,
3957,,-111.9320722,33.4219238,178,2,
3958,,-111.9319978,33.4219245,178,2,
3959,,-111.9319233,33.4219252,178,2,
3960,,-111.9318488,33.4219259,178,2,
3961,,-111.9317744,33.4219266,178,2,
3962,,-111.9316999,33.4219273,178,2,
3963,,-111.9316255,33.421928,178,2,
3964,,-111.931551,33.4219287,178,2,
3965,,-111.9314765,33.4219294,178,2,
3966,,-111.9314021,33.4219301,178,2,
3967,,-111.9313276,33.4219308,178,2,
3968,,-111.9312531,33.4219316,178,2,
3969,,-111.9311787,33.4219323,178,2,
3970,,-111.9311042,33.421933,178,2,
3971,,-111.9310298,33.4219337,178,2,
3972,,-111.9309553,33.4219344,178,2,
3973,,-111.9307944,33.4219675,179,1,
3974,,-111.9307633,33.4219678,179,1,
3975,,-111.930794,33.4219359,179,2,
3976,,-111.9307628,33.4219362,179,2,
3977,,-111.9397579,33.4174538,180,1,
3978,,-111.9396819,33.4174526,180,1,
3979,,-111.9396059,33.4174517,180,1,
3980,,-111.9395299,33.4174524,180,1,
3981,,-111.9394539,33.4174531,180,1,
3982,,-111.939378,33.4174538,180,1,
3983,,-111.939302,33.4174545,180,1,
3984,,-111.939226,33.4174552,180,1,
